"accuracy","precision","recall","fscore","method"
0.9561753,0.9527559,0.9603175,0.9565217,"RF"
0.9721116,0.9685039,0.9761905,0.972332,"SVM"
0.9721116,0.9541985,0.9920635,0.9727626,"LASSO"
0.9800797,0.976378,0.984127,0.9802372,"RF"
0.9681275,0.968254,0.968254,0.968254,"SVM"
0.9721116,0.9612403,0.984127,0.972549,"LASSO"
0.9800797,0.976378,0.984127,0.9802372,"RF"
0.9561753,0.9674797,0.9444444,0.9558233,"SVM"
0.9760956,0.9761905,0.9761905,0.9761905,"LASSO"
0.9760956,0.983871,0.968254,0.976,"RF"
0.9561753,0.96,0.952381,0.9561753,"SVM"
0.9840637,0.9765625,0.9920635,0.984252,"LASSO"
0.9880478,0.992,0.984127,0.9880478,"RF"
0.9800797,0.976378,0.984127,0.9802372,"SVM"
0.9760956,0.9615385,0.9920635,0.9765625,"LASSO"
0.9800797,0.9689922,0.9920635,0.9803922,"RF"
0.9760956,0.9761905,0.9761905,0.9761905,"SVM"
0.9641434,0.9534884,0.9761905,0.9647059,"LASSO"
0.9800797,0.976378,0.984127,0.9802372,"RF"
0.9641434,0.9534884,0.9761905,0.9647059,"SVM"
0.9840637,0.9765625,0.9920635,0.984252,"LASSO"
0.9561753,0.96,0.952381,0.9561753,"RF"
0.9601594,0.9754098,0.9444444,0.9596774,"SVM"
0.9721116,0.9612403,0.984127,0.972549,"LASSO"
0.9641434,0.968,0.9603175,0.9641434,"RF"
0.9681275,0.9836066,0.952381,0.9677419,"SVM"
0.9641434,0.9534884,0.9761905,0.9647059,"LASSO"
1,1,1,1,"RF"
0.9681275,0.968254,0.968254,0.968254,"SVM"
0.9960159,0.992126,1,0.9960474,"LASSO"
0.9880478,0.9767442,1,0.9882353,"RF"
0.9521912,0.9453125,0.9603175,0.9527559,"SVM"
0.9760956,0.9545455,1,0.9767442,"LASSO"
0.9800797,0.976378,0.984127,0.9802372,"RF"
0.9681275,0.9469697,0.9920635,0.9689922,"SVM"
0.9800797,0.9689922,0.9920635,0.9803922,"LASSO"
0.9721116,0.9685039,0.9761905,0.972332,"RF"
0.9840637,0.9919355,0.9761905,0.984,"SVM"
0.9721116,0.9612403,0.984127,0.972549,"LASSO"
0.9442231,0.9307692,0.9603175,0.9453125,"RF"
0.936255,0.9166667,0.9603175,0.9379845,"SVM"
0.9561753,0.9259259,0.9920635,0.9578544,"LASSO"
0.9840637,0.9765625,0.9920635,0.984252,"RF"
0.9800797,0.984,0.9761905,0.9800797,"SVM"
0.9760956,0.9545455,1,0.9767442,"LASSO"
0.9760956,0.983871,0.968254,0.976,"RF"
0.9800797,0.984,0.9761905,0.9800797,"SVM"
0.9760956,0.9761905,0.9761905,0.9761905,"LASSO"
0.9521912,0.952381,0.952381,0.952381,"RF"
0.9721116,0.9917355,0.952381,0.9716599,"SVM"
0.9681275,0.9469697,0.9920635,0.9689922,"LASSO"
0.9721116,0.976,0.968254,0.9721116,"RF"
0.9601594,0.9461538,0.9761905,0.9609375,"SVM"
0.9800797,0.984,0.9761905,0.9800797,"LASSO"
0.9601594,0.9603175,0.9603175,0.9603175,"RF"
0.9601594,0.9833333,0.9365079,0.9593496,"SVM"
0.9800797,0.976378,0.984127,0.9802372,"LASSO"
0.9800797,0.976378,0.984127,0.9802372,"RF"
0.9641434,0.9534884,0.9761905,0.9647059,"SVM"
0.9641434,0.9465649,0.984127,0.9649805,"LASSO"
0.9840637,0.9692308,1,0.984375,"RF"
0.9561753,0.9457364,0.968254,0.9568627,"SVM"
0.9760956,0.9615385,0.9920635,0.9765625,"LASSO"
0.9800797,0.9689922,0.9920635,0.9803922,"RF"
0.9800797,0.976378,0.984127,0.9802372,"SVM"
0.9760956,0.9545455,1,0.9767442,"LASSO"
0.9920319,0.9920635,0.9920635,0.9920635,"RF"
0.9601594,0.9328358,0.9920635,0.9615385,"SVM"
0.9840637,0.984127,0.984127,0.984127,"LASSO"
0.9601594,0.9461538,0.9761905,0.9609375,"RF"
0.9721116,0.9612403,0.984127,0.972549,"SVM"
0.9601594,0.9328358,0.9920635,0.9615385,"LASSO"
0.9840637,0.9765625,0.9920635,0.984252,"RF"
0.9721116,0.976,0.968254,0.9721116,"SVM"
0.9721116,0.9612403,0.984127,0.972549,"LASSO"
0.9641434,0.9834711,0.9444444,0.9635628,"RF"
0.9641434,0.9756098,0.952381,0.9638554,"SVM"
0.9760956,0.96875,0.984127,0.976378,"LASSO"
0.9681275,0.968254,0.968254,0.968254,"RF"
0.9641434,0.968,0.9603175,0.9641434,"SVM"
0.9840637,0.9692308,1,0.984375,"LASSO"
0.9760956,0.983871,0.968254,0.976,"RF"
0.9721116,0.9837398,0.9603175,0.9718876,"SVM"
0.9840637,0.9692308,1,0.984375,"LASSO"
0.9641434,0.9606299,0.968254,0.9644269,"RF"
0.9800797,0.976378,0.984127,0.9802372,"SVM"
0.9800797,0.9618321,1,0.9805447,"LASSO"
0.9561753,0.9389313,0.9761905,0.9571984,"RF"
0.9601594,0.9461538,0.9761905,0.9609375,"SVM"
0.9681275,0.9402985,1,0.9692308,"LASSO"
0.9760956,1,0.952381,0.9756098,"RF"
0.9800797,0.9918699,0.968254,0.9799197,"SVM"
0.9760956,0.96875,0.984127,0.976378,"LASSO"
0.9681275,0.9469697,0.9920635,0.9689922,"RF"
0.9920319,0.9920635,0.9920635,0.9920635,"SVM"
0.9760956,0.9615385,0.9920635,0.9765625,"LASSO"
0.9521912,0.952381,0.952381,0.952381,"RF"
0.9561753,0.9674797,0.9444444,0.9558233,"SVM"
0.9641434,0.9398496,0.9920635,0.965251,"LASSO"
0.9880478,0.992,0.984127,0.9880478,"RF"
0.9641434,0.9534884,0.9761905,0.9647059,"SVM"
0.9840637,0.9765625,0.9920635,0.984252,"LASSO"
0.9521912,0.9384615,0.968254,0.953125,"RF"
0.9920319,0.984375,1,0.992126,"SVM"
0.9721116,0.9473684,1,0.972973,"LASSO"
0.9641434,0.9606299,0.968254,0.9644269,"RF"
0.9800797,0.976378,0.984127,0.9802372,"SVM"
0.9681275,0.9609375,0.9761905,0.9685039,"LASSO"
0.9681275,0.9758065,0.9603175,0.968,"RF"
0.9760956,0.9761905,0.9761905,0.9761905,"SVM"
0.9800797,0.976378,0.984127,0.9802372,"LASSO"
0.9800797,0.9689922,0.9920635,0.9803922,"RF"
0.9601594,0.9393939,0.984127,0.9612403,"SVM"
0.9721116,0.9473684,1,0.972973,"LASSO"
0.9641434,0.9606299,0.968254,0.9644269,"RF"
0.9641434,0.9756098,0.952381,0.9638554,"SVM"
0.9681275,0.9538462,0.984127,0.96875,"LASSO"
0.9521912,0.9318182,0.9761905,0.9534884,"RF"
0.9800797,0.9689922,0.9920635,0.9803922,"SVM"
0.9601594,0.9328358,0.9920635,0.9615385,"LASSO"
0.9721116,0.976,0.968254,0.9721116,"RF"
0.9760956,0.9761905,0.9761905,0.9761905,"SVM"
0.9760956,0.9615385,0.9920635,0.9765625,"LASSO"
0.9840637,0.9765625,0.9920635,0.984252,"RF"
0.9641434,0.9606299,0.968254,0.9644269,"SVM"
0.9800797,0.9618321,1,0.9805447,"LASSO"
0.9800797,0.976378,0.984127,0.9802372,"RF"
0.9681275,0.9609375,0.9761905,0.9685039,"SVM"
0.9800797,0.976378,0.984127,0.9802372,"LASSO"
0.9880478,0.984252,0.9920635,0.9881423,"RF"
0.9880478,0.984252,0.9920635,0.9881423,"SVM"
0.9800797,0.9689922,0.9920635,0.9803922,"LASSO"
0.9641434,0.9756098,0.952381,0.9638554,"RF"
0.9760956,0.9615385,0.9920635,0.9765625,"SVM"
0.9800797,0.9689922,0.9920635,0.9803922,"LASSO"
0.9681275,0.9609375,0.9761905,0.9685039,"RF"
0.9880478,0.984252,0.9920635,0.9881423,"SVM"
0.9760956,0.9615385,0.9920635,0.9765625,"LASSO"
0.9561753,0.9457364,0.968254,0.9568627,"RF"
0.9840637,0.984127,0.984127,0.984127,"SVM"
0.9840637,0.9692308,1,0.984375,"LASSO"
0.9561753,0.9457364,0.968254,0.9568627,"RF"
0.9482072,0.9669421,0.9285714,0.9473684,"SVM"
0.9681275,0.9609375,0.9761905,0.9685039,"LASSO"
0.9641434,0.9756098,0.952381,0.9638554,"RF"
0.9840637,0.9765625,0.9920635,0.984252,"SVM"
0.9641434,0.9465649,0.984127,0.9649805,"LASSO"
0.9442231,0.9375,0.952381,0.9448819,"RF"
0.9840637,0.9765625,0.9920635,0.984252,"SVM"
0.9561753,0.9259259,0.9920635,0.9578544,"LASSO"
