accuracy,precision,recall,fscore,method
0.972111554,0.96124031,0.984126984,0.97254902,RF
0.952191235,0.959677419,0.944444444,0.952,SVM
0.964143426,0.946564885,0.984126984,0.964980545,LASSO
0.972111554,0.96124031,0.984126984,0.97254902,RF
0.948207171,0.92481203,0.976190476,0.94980695,SVM
0.972111554,0.947368421,1,0.972972973,LASSO
0.972111554,0.954198473,0.992063492,0.972762646,RF
0.948207171,0.93129771,0.968253968,0.949416342,SVM
0.964143426,0.946564885,0.984126984,0.964980545,LASSO
0.980079681,0.968992248,0.992063492,0.980392157,RF
0.976095618,0.991803279,0.96031746,0.975806452,SVM
0.972111554,0.954198473,0.992063492,0.972762646,LASSO
0.96812749,0.9609375,0.976190476,0.968503937,RF
0.964143426,0.991596639,0.936507937,0.963265306,SVM
0.960159363,0.939393939,0.984126984,0.96124031,LASSO
0.980079681,0.976377953,0.984126984,0.980237154,RF
0.956175299,0.975206612,0.936507937,0.955465587,SVM
0.964143426,0.953488372,0.976190476,0.964705882,LASSO
0.956175299,0.952755906,0.96031746,0.956521739,RF
0.972111554,0.976,0.968253968,0.972111554,SVM
0.988047809,0.984251969,0.992063492,0.988142292,LASSO
0.976095618,0.961538462,0.992063492,0.9765625,RF
0.96812749,0.968253968,0.968253968,0.968253968,SVM
0.96812749,0.975806452,0.96031746,0.968,LASSO
0.980079681,0.976377953,0.984126984,0.980237154,RF
0.960159363,0.946153846,0.976190476,0.9609375,SVM
0.984063745,0.9765625,0.992063492,0.984251969,LASSO
0.992031873,1,0.984126984,0.992,RF
0.948207171,0.966942149,0.928571429,0.947368421,SVM
0.976095618,0.961538462,0.992063492,0.9765625,LASSO
0.960159363,0.96031746,0.96031746,0.96031746,RF
0.980079681,0.976377953,0.984126984,0.980237154,SVM
0.984063745,0.969230769,1,0.984375,LASSO
0.980079681,0.961832061,1,0.980544747,RF
0.964143426,0.968,0.96031746,0.964143426,SVM
0.976095618,0.961538462,0.992063492,0.9765625,LASSO
0.980079681,0.976377953,0.984126984,0.980237154,RF
0.960159363,0.96031746,0.96031746,0.96031746,SVM
0.976095618,0.96875,0.984126984,0.976377953,LASSO
0.964143426,0.975609756,0.952380952,0.963855422,RF
0.956175299,0.96,0.952380952,0.956175299,SVM
0.996015936,0.992125984,1,0.996047431,LASSO
0.980079681,0.976377953,0.984126984,0.980237154,RF
0.940239044,0.937007874,0.944444444,0.940711462,SVM
0.988047809,0.984251969,0.992063492,0.988142292,LASSO
0.96812749,0.946969697,0.992063492,0.968992248,RF
0.972111554,0.968503937,0.976190476,0.972332016,SVM
0.976095618,0.961538462,0.992063492,0.9765625,LASSO
0.984063745,0.969230769,1,0.984375,RF
0.956175299,0.945736434,0.968253968,0.956862745,SVM
0.976095618,0.954545455,1,0.976744186,LASSO
0.972111554,0.976,0.968253968,0.972111554,RF
0.964143426,0.991596639,0.936507937,0.963265306,SVM
0.976095618,0.961538462,0.992063492,0.9765625,LASSO
